ID,X,Y,V,eV,VI,eVI,MP,sel
215,380.4,398.3,25.101,0.008,0.928,0.011,1.0,1
291,406.5,436.9,25.13,0.008,0.805,0.012,1.0,1
415,440.1,296.7,25.132,0.008,0.801,0.012,1.0,1
172,366.5,344.2,25.133,0.008,-0.024,0.017,1.0,1
211,378.0,519.9,25.134,0.008,0.288,0.014,1.0,1
501,465.1,386.2,25.139,0.008,0.636,0.013,1.0,1
624,507.0,388.9,25.144,0.008,0.944,0.012,1.0,1
263,396.8,380.6,25.152,0.008,0.798,0.012,1.0,1
98,330.6,300.4,25.16,0.008,0.546,0.014,1.0,1
559,483.7,456.1,25.168,0.008,1.0,0.011,1.0,1
45,305.7,484.9,25.169,0.008,0.646,0.013,1.0,1
448,450.1,369.9,25.18,0.008,0.054,0.017,1.0,1
546,478.7,336.4,25.192,0.008,0.846,0.012,1.0,1
164,364.1,332.8,25.197,0.008,0.793,0.012,1.0,1
726,552.0,481.3,25.197,0.008,0.404,0.014,1.0,1
1,282.1,428.0,25.203,0.008,0.851,0.012,1.0,1
626,507.2,317.7,25.204,0.008,0.436,0.014,1.0,1
542,477.7,462.1,25.206,0.008,0.82,0.012,1.0,1
173,366.7,318.1,25.222,0.008,0.593,0.014,1.0,1
412,438.4,398.2,25.23,0.008,0.668,0.013,1.0,1
621,505.6,435.5,25.234,0.008,0.017,0.018,1.0,1
182,371.1,475.0,25.24,0.008,-0.212,0.021,1.0,1
290,405.8,403.7,25.241,0.008,0.694,0.013,1.0,1
151,358.0,273.1,25.242,0.008,0.89,0.012,1.0,1
303,410.3,286.3,25.25,0.008,0.745,0.013,1.0,1
590,496.5,431.4,25.258,0.008,0.498,0.014,1.0,1
265,396.9,348.5,25.262,0.008,0.642,0.014,1.0,1
413,439.0,356.9,25.262,0.008,0.908,0.012,1.0,1
728,552.7,281.2,25.267,0.008,0.625,0.014,1.0,1
217,381.6,352.4,25.272,0.008,0.774,0.013,1.0,1
258,394.6,352.1,25.277,0.008,0.279,0.015,1.0,1
342,420.6,270.5,25.277,0.008,0.898,0.012,1.0,1
508,466.3,282.5,25.278,0.008,1.112,0.011,1.0,1
453,451.7,468.8,25.282,0.008,0.823,0.013,1.0,1
157,361.7,364.8,25.287,0.008,0.791,0.013,1.0,1
91,328.0,337.5,25.288,0.008,0.828,0.013,1.0,1
639,512.6,276.0,25.288,0.008,-0.242,0.022,1.0,1
783,582.9,402.9,25.297,0.008,0.843,0.013,1.0,1
697,539.1,392.3,25.299,0.008,1.034,0.012,1.0,1
247,391.2,443.2,25.304,0.008,1.077,0.012,1.0,1
101,331.4,373.9,25.31,0.008,0.974,0.012,1.0,1
126,345.9,462.5,25.313,0.009,0.837,0.013,1.0,1
302,410.0,425.0,25.313,0.008,0.83,0.013,1.0,1
545,478.6,295.6,25.314,0.009,0.809,0.013,1.0,1
368,428.0,459.1,25.321,0.008,-0.448,0.024,1.0,1
283,404.1,424.4,25.322,0.008,0.641,0.014,1.0,1
349,422.4,343.1,25.322,0.008,0.521,0.014,1.0,1
166,364.5,549.8,25.328,0.009,0.776,0.013,1.0,1
372,429.1,529.7,25.328,0.009,0.498,0.015,1.0,1
348,422.3,371.1,25.334,0.008,0.972,0.012,1.0,1
