ID X   Y     V      eV    VI    eVI
247 391.2 443.2 25.304 0.008 1.077 0.012
248 391.5 277.5 27.476 0.047 1.184 0.062
249 391.8 452.4 23.616 0.005 1.224 0.008
250 391.8 510.1 25.435 0.009 0.524 0.016
251 392.2 385.9 25.592 0.010 0.649 0.016
252 392.6 369.0 27.212 0.037 0.835 0.057
253 393.2 483.4 25.554 0.010 0.333 0.019
254 393.4 286.1 28.044 0.077 0.355 0.157
255 393.4 335.3 27.649 0.055 0.355 0.111
256 393.7 425.3 24.100 0.005 0.959 0.008
257 394.3 463.4 27.444 0.046 0.809 0.070
258 394.6 352.1 25.277 0.008 0.279 0.015
259 394.6 418.3 25.731 0.011 0.625 0.019
260 394.8 413.0 24.401 0.006 0.859 0.009
261 395.1 530.0 25.375 0.009 0.445 0.016
262 396.2 313.1 24.217 0.006 1.060 0.008
263 396.8 380.6 25.152 0.008 0.798 0.012
264 396.8 463.4 26.624 0.022 0.615 0.037
265 396.9 348.5 25.262 0.008 0.642 0.014
266 396.9 394.5 25.670 0.010 0.483 0.018
267 397.4 397.2 26.084 0.014 0.597 0.024
268 397.5 401.8 23.986 0.005 1.377 0.008
269 398.1 320.7 28.368 0.105 1.287 0.133
270 398.1 386.7 24.835 0.007 0.857 0.011
271 398.5 421.4 25.548 0.010 1.011 0.014
272 399.7 442.8 23.540 0.005 1.246 0.008
273 400.2 473.6 26.972 0.030 1.481 0.036
274 400.6 462.4 26.485 0.020 0.647 0.034
275 400.7 456.5 24.653 0.006 0.881 0.009
276 401.2 362.1 22.522 0.005 1.468 0.008
277 401.3 377.4 25.482 0.009 -0.290 0.026
278 401.3 393.8 24.864 0.007 1.023 0.010
279 401.6 430.0 23.157 0.005 1.181 0.008
280 402.3 380.9 25.363 0.009 0.930 0.013
281 402.9 372.3 27.220 0.037 0.581 0.065
282 403.1 399.5 26.015 0.013 0.933 0.019
283 404.1 424.4 25.322 0.008 0.641 0.014
284 404.2 471.7 26.632 0.021 -0.233 0.066
285 404.3 385.2 24.544 0.006 0.987 0.009
286 404.9 325.6 27.936 0.071 0.724 0.114
287 404.9 510.3 24.441 0.006 0.540 0.010
288 405.1 392.4 25.377 0.009 0.162 0.018
289 405.1 483.6 24.955 0.007 0.978 0.011
290 405.8 403.7 25.241 0.008 0.694 0.013
291 406.5 436.9 25.130 0.008 0.805 0.012
292 406.7 466.2 26.237 0.016 0.492 0.029
293 408.3 410.5 22.596 0.005 1.345 0.008
294 408.4 358.3 24.948 0.007 1.009 0.011
295 408.4 486.9 26.565 0.021 1.240 0.028
296 408.8 482.4 25.580 0.010 -0.113 0.025
297 409.0 460.4 24.855 0.007 1.023 0.010
298 409.2 535.9 26.848 0.027 0.438 0.052
299 409.3 327.8 27.007 0.031 0.967 0.045
300 409.5 547.2 27.030 0.031 2.306 0.033
301 409.8 492.8 24.612 0.006 1.093 0.009
302 410.0 425.0 25.313 0.008 0.830 0.013
303 410.3 286.3 25.250 0.008 0.745 0.013
