#ID  Vmag   (Vmag-Imag)   e_Vmag   e_(Vmag-Imag)   Mini
167     25.5378 0.5898  0.0105  0.0193  0.7607  
168     22.7598 1.2777  0.0046  0.0065  0.7613  
169     25.4761 0.7502  0.0101  0.0185  0.7610  
170     24.6070 1.0294  0.0067  0.0116  0.7592  
171     25.5390 0.6463  0.0105  0.0193  0.7608  
172     26.0898 0.9699  0.0147  0.0270  0.7583  
173     25.5907 0.3288  0.0108  0.0199  0.7601  
174     24.6582 1.0056  0.0069  0.0119  0.7592  
175     25.5594 0.4673  0.0106  0.0194  0.7605  
176     25.7800 0.9478  0.0121  0.0223  0.7585  
177     25.6300 0.3393  0.0111  0.0203  0.7597  
178     25.0982 0.9538  0.0083  0.0150  0.7589  
179     24.5859 1.0161  0.0067  0.0115  0.7592  
180     24.9210 0.9687  0.0077  0.0137  0.7590  
181     25.9380 0.9098  0.0136  0.0250  0.7584  
182     25.4264 0.9454  0.0099  0.0181  0.7588  
183     24.7522 0.9922  0.0071  0.0125  0.7591  
184     25.6176 0.3398  0.0109  0.0201  0.7599  
185     25.5647 0.3912  0.0107  0.0196  0.7603  
186     23.6787 1.0620  0.0052  0.0081  0.7613  
187     24.4565 1.0202  0.0064  0.0109  0.7592  
188     23.1546 1.2018  0.0048  0.0071  0.7595  
189     25.5492 0.6787  0.0105  0.0192  0.7608  
190     24.4110 0.9763  0.0063  0.0106  0.7612  
191     23.7020 1.1074  0.0052  0.0082  0.7594  
192     25.4344 0.7958  0.0098  0.0180  0.7610  
193     24.5923 1.0039  0.0067  0.0116  0.7592  
194     23.2920 1.1704  0.0049  0.0073  0.7595  
195     24.3569 0.9954  0.0062  0.0104  0.7612  
196     23.7592 1.0951  0.0053  0.0083  0.7594  
197     25.3368 0.9424  0.0094  0.0172  0.7588  
198     24.1737 1.0561  0.0058  0.0097  0.7593  
199     22.7754 1.3120  0.0046  0.0065  0.7595  
1100    25.5323 0.5756  0.0105  0.0193  0.7607  
1101    25.5082 0.7210  0.0103  0.0189  0.7609  
1102    25.6138 0.3295  0.0110  0.0201  0.7599  
1103    23.7565 1.0908  0.0053  0.0083  0.7594  
1104    24.0357 1.0222  0.0056  0.0092  0.7613  
1105    24.3822 1.0238  0.0062  0.0105  0.7592  
